name=Menu du site web, model=website.menu, id=600, state=base
name=Merge Partner Wizard, model=base.partner.merge.automatic.wizard, id=113, state=base
name=Message, model=mail.message, id=171, state=base
name=Message Reaction, model=mail.message.reaction, id=169, state=base
name=Mettre à jour l'adresse du partenaire, model=snailmail.letter.missing.required.fields, id=390, state=base
name=Mettre à jour les traductions, model=base.update.translations, id=111, state=base
name=Mise en page des documents de votre société, model=base.document.layout, id=115, state=base
name=Mise en page des rapports, model=report.layout, id=71, state=base
name=Mise à jour du module, model=base.module.update, id=105, state=base
name=Mix d'images, model=image.mixin, id=75, state=base
name=Mix d'évaluations, model=rating.mixin, id=635, state=base
name=Mixin de L'Evaluation Parente, model=rating.parent.mixin, id=634, state=base
name=Moappage des comptes de position fiscale, model=account.fiscal.position.account, id=396, state=base
name=Modes de paiement au point de vente, model=pos.payment.method, id=534, state=base
name=Module, model=ir.module.module, id=65, state=base
name=Module de mise à jour, model=base.module.upgrade, id=108, state=base
name=Module référence de rapport (base), model=report.base.report_irmodulereference, id=104, state=base
name=Modèle associé, model=ir.model.relation, id=7, state=base
name=Modèle d'assistant pour revaloriser un inventaire pour un article, model=stock.valuation.layer.revaluation, id=524, state=base
name=Modèle d'événement, model=event.type, id=580, state=base
name=Modèle de Données, model=ir.model.data, id=9, state=base
name=Modèle de devis, model=sale.order.template, id=577, state=base
name=Modèle de lettrage, model=account.reconcile.model.template, id=436, state=base
name=Modèle de ligne de réparation de taxes, model=account.tax.repartition.line.template, id=432, state=base
name=Modèle de mappage de taxes de la position fiscale, model=account.fiscal.position.tax.template, id=434, state=base
name=Modèle de mappage des comptes de position fiscale, model=account.fiscal.position.account.template, id=435, state=base
name=Modèle de plan comptable, model=account.chart.template, id=430, state=base
name=Modèle de position fiscale, model=account.fiscal.position.template, id=433, state=base
name=Modèle pour les Groupes de Comptes, model=account.group.template, id=428, state=base
name=Modèles, model=ir.model, id=3, state=base
name=Modèles d'emails, model=mail.template, id=174, state=base
name=Modèles de SMS, model=sms.template, id=380, state=base
name=Modèles pour les taxes, model=account.tax.template, id=431, state=base
name=Mouvement d'inventaire, model=stock.move, id=467, state=base
name=Mouvements d'article (Ligne de mouvement de stock), model=stock.move.line, id=468, state=base
name=Multi Site Mixin, model=website.multi.mixin, id=595, state=base
name=Multi site publié Mixin, model=website.published.multi.mixin, id=597, state=base
name=Mélange UTM, model=utm.mixin, id=563, state=base
name=Mélange du portal, model=portal.mixin, id=371, state=base
name=Métadonnées SEO, model=website.seo.metadata, id=593, state=base
name=Méthodes de paiements, model=account.payment.method, id=421, state=base
